t, x_target_error, distance_to_target, tape_align_error, target_locked, left_tape_area, right_tape_area
0.100000, -58.000000, 7.300003, 3.000000, 1, 11.500000, 8.500000, 
0.200001, -58.000000, 0.000000, 3.500000, 1, 11.000000, 7.500000, 
0.300001, -58.000000, 7.300003, 4.000000, 1, 11.500000, 7.500000, 
0.400002, -58.000000, 7.294113, 4.000000, 1, 11.500000, 7.500000, 
0.500002, -58.000000, 0.000000, 3.500000, 1, 11.000000, 7.500000, 
0.600002, -58.000000, 0.000000, 3.500000, 1, 11.000000, 7.500000, 
0.700004, -58.000000, 0.000000, 3.500000, 1, 11.000000, 7.500000, 
0.800004, -58.000000, 7.300003, 3.000000, 1, 10.500000, 7.500000, 
0.900005, -58.000000, 7.300003, 3.000000, 1, 10.500000, 7.500000, 
1.000006, -58.000000, 0.000000, 4.500000, 1, 12.000000, 7.500000, 
1.100008, -58.000000, 6.929405, 3.000000, 1, 12.000000, 9.000000, 
1.200010, -56.000000, 7.478691, 2.000000, 1, 11.000000, 9.000000, 
1.300011, -56.000000, 7.478691, 2.000000, 1, 11.000000, 9.000000, 
1.400012, -39.000000, 7.896545, 0.000000, 1, 8.000000, 8.000000, 
1.500012, -29.000000, 7.399994, 0.000000, 1, 7.000000, 7.000000, 
1.600012, -20.000000, 7.264709, 1.000000, 1, 10.000000, 9.000000, 
1.700014, -10.000000, 6.699997, -3.500000, 1, 9.500000, 13.000000, 
1.800014, -3.000000, 6.300003, -4.000000, 1, 12.000000, 16.000000, 
1.900016, 0.000000, 5.844833, -2.500000, 1, 12.500000, 15.000000, 
2.000016, 2.000000, 5.670689, -2.000000, 1, 16.500000, 18.500000, 
2.100016, 4.000000, 5.203773, -0.500000, 1, 24.000000, 24.500000, 
2.200016, 4.000000, 4.535290, 0.000000, 1, 30.000000, 30.000000, 
2.300018, 3.000000, 4.199997, -1.500000, 1, 32.500000, 34.000000, 
2.400019, 2.000000, 3.753906, -4.000000, 1, 41.000000, 45.000000, 
2.500020, 2.000000, 3.452825, -2.000000, 1, 46.000000, 48.000000, 
2.600021, 0.000000, 2.780002, -1.500000, 1, 59.000000, 60.500000, 
2.700021, 0.000000, 2.460001, -5.000000, 1, 72.500000, 77.500000, 
2.800022, -1.000000, 2.029199, -6.000000, 1, 83.500000, 89.500000, 
2.900022, -3.000000, 1.781517, -8.000000, 1, 138.000000, 114.500000, 
3.000023, -3.000000, 1.611111, -12.000000, 1, 153.500000, 165.500000, 
3.100023, -2.000000, 1.444444, -7.000000, 1, 172.500000, 179.500000, 
3.200025, -3.000000, 1.166667, -14.500000, 1, 206.000000, 220.500000, 
3.300025, -3.000000, 0.995397, -3.500000, 1, 241.500000, 245.000000, 
3.400025, -3.000000, 0.831250, -6.000000, 1, 288.000000, 294.000000, 
3.500025, -4.000000, 0.660582, -7.500000, 1, 340.000000, 347.500000, 
3.600026, -4.000000, 0.518750, -8.000000, 1, 382.000000, 390.000000, 
3.700028, -4.000000, 0.381250, -20.000000, 1, 435.000000, 455.000000, 
3.800028, -4.000000, 0.218750, -14.000000, 1, 500.500000, 514.500000, 
3.900028, -4.000000, 0.131249, -12.000000, 1, 538.000000, 550.000000, 
4.000030, -4.000000, 0.000000, -4.500000, 1, 585.000000, 589.500000, 
