t, x_target_error, distance_to_target, tape_align_error, target_locked, left_tape_area, right_tape_area
0.100005, -54.000000, 10.000000, 0.500000, 1, 14.000000, 13.500000, 
0.200005, -55.000000, 10.000000, 1.500000, 1, 15.000000, 13.500000, 
0.300005, -55.000000, 10.000000, 0.500000, 1, 14.000000, 13.500000, 
0.400006, -55.000000, 10.000000, 1.000000, 1, 14.000000, 13.000000, 
0.500006, -55.000000, 10.000000, 1.500000, 1, 14.000000, 12.500000, 
0.600008, -55.000000, 10.000000, 0.000000, 1, 14.000000, 14.000000, 
0.700010, -55.000000, 10.000000, 1.500000, 1, 15.000000, 13.500000, 
0.800012, -55.000000, 10.000000, 2.000000, 1, 16.000000, 14.000000, 
0.900012, -55.000000, 10.000000, 1.000000, 1, 14.000000, 13.000000, 
1.000013, -47.000000, 10.000000, 4.000000, 1, 15.000000, 11.000000, 
1.100015, -40.000000, 10.000000, -2.500000, 1, 10.000000, 12.500000, 
1.200017, -24.000000, 10.000000, -2.000000, 1, 12.000000, 14.000000, 
1.300017, -15.000000, 10.550194, 0.500000, 1, 14.500000, 14.000000, 
1.400019, -8.000000, 10.120862, -1.000000, 1, 14.500000, 15.500000, 
1.500021, -2.000000, 9.541008, -3.000000, 1, 16.500000, 19.500000, 
1.600022, -1.000000, 8.720485, 1.000000, 1, 22.500000, 21.500000, 
1.700023, 0.000000, 7.897186, -5.000000, 1, 25.000000, 30.000000, 
1.800023, 1.000000, 7.628293, -1.500000, 1, 29.000000, 30.500000, 
1.900024, 0.000000, 6.426259, -5.500000, 1, 31.500000, 37.000000, 
2.000024, 0.000000, 5.906328, -3.000000, 1, 38.500000, 41.500000, 
2.100024, 0.000000, 5.422486, -5.000000, 1, 43.500000, 48.500000, 
2.200025, 0.000000, 4.943590, -5.500000, 1, 53.000000, 58.500000, 
2.300026, -1.000000, 4.501321, -3.500000, 1, 61.000000, 64.500000, 
2.400027, -1.000000, 4.055013, -4.000000, 1, 78.500000, 82.500000, 
2.500027, -1.000000, 3.811646, -6.500000, 1, 83.500000, 90.000000, 
2.600027, -1.000000, 3.486198, -11.000000, 1, 100.500000, 111.500000, 
