t, x_target_error, distance_to_target, tape_align_error, target_locked, left_tape_area, right_tape_area
0.050001, -57.000000, 8.000000, 1.000000, 1, 8.000000, 7.000000, 
0.100002, -57.000000, 8.000000, 2.000000, 1, 9.000000, 7.000000, 
0.150003, -57.000000, 8.000000, 2.000000, 1, 9.000000, 7.000000, 
0.200004, -56.000000, 8.000000, 0.000000, 1, 7.000000, 7.000000, 
0.250006, -56.000000, 8.000000, 0.000000, 1, 7.000000, 7.000000, 
0.300006, -56.000000, 8.000000, 0.000000, 1, 7.000000, 7.000000, 
0.350008, -56.000000, 8.000000, 0.000000, 1, 7.000000, 7.000000, 
0.400010, -57.000000, 8.000000, 2.000000, 1, 9.000000, 7.000000, 
0.450011, -57.000000, 8.000000, 2.000000, 1, 9.000000, 7.000000, 
0.500011, -57.000000, 8.000000, 2.000000, 1, 9.000000, 7.000000, 
0.550013, -57.000000, 8.000000, 2.000000, 1, 9.000000, 7.000000, 
0.600015, -57.000000, 8.000000, 2.000000, 1, 9.000000, 7.000000, 
0.650015, -57.000000, 8.000000, 2.000000, 1, 9.000000, 7.000000, 
0.700015, -57.000000, 8.000000, 2.500000, 1, 9.500000, 7.000000, 
0.750015, -57.000000, 8.000000, 2.500000, 1, 9.500000, 7.000000, 
0.800017, -57.000000, 8.000000, 3.000000, 1, 9.500000, 6.500000, 
0.850018, -57.000000, 8.000000, 3.000000, 1, 9.500000, 6.500000, 
0.900020, -56.000000, 8.000000, 1.500000, 1, 8.000000, 6.500000, 
0.950020, -56.000000, 8.000000, 1.500000, 1, 8.000000, 6.500000, 
1.000020, -57.000000, 8.000000, 1.000000, 1, 7.500000, 6.500000, 
1.050021, -57.000000, 8.000000, 1.000000, 1, 7.500000, 6.500000, 
1.100022, -56.000000, 8.000000, -3.000000, 1, 6.500000, 9.500000, 
1.150023, -56.000000, 8.000000, -3.000000, 1, 6.500000, 9.500000, 
1.200025, -56.000000, 8.000000, 0.000000, 1, 9.500000, 9.500000, 
1.250027, -56.000000, 8.000000, 0.000000, 1, 9.500000, 9.500000, 
1.300028, -57.000000, 8.000000, 0.000000, 1, 8.000000, 8.000000, 
1.350029, -57.000000, 8.000000, 0.000000, 1, 8.000000, 8.000000, 
1.400031, -57.000000, 8.000000, 0.000000, 1, 10.500000, 10.500000, 
1.450032, -57.000000, 8.000000, 0.000000, 1, 10.500000, 10.500000, 
1.500034, -62.000000, 8.000000, 2.000000, 1, 9.000000, 7.000000, 
1.550034, -62.000000, 8.000000, 2.000000, 1, 9.000000, 7.000000, 
1.600035, -59.000000, 8.000000, -2.500000, 1, 8.500000, 11.000000, 
1.650035, -59.000000, 8.000000, -2.500000, 1, 8.500000, 11.000000, 
1.700035, -55.000000, 8.000000, 0.500000, 1, 11.500000, 11.000000, 
1.750036, -55.000000, 8.000000, 0.500000, 1, 11.500000, 11.000000, 
1.800037, -62.000000, 8.000000, 0.500000, 1, 12.000000, 11.500000, 
1.850037, -62.000000, 8.000000, 0.500000, 1, 12.000000, 11.500000, 
1.900037, -57.000000, 8.000000, -1.000000, 1, 12.000000, 13.000000, 
1.950038, -57.000000, 8.000000, -1.000000, 1, 12.000000, 13.000000, 
2.000040, -30.000000, 8.000000, -2.000000, 1, 13.000000, 15.000000, 
2.050041, -30.000000, 8.000000, -2.000000, 1, 13.000000, 15.000000, 
2.100041, -2.000000, 8.000000, 0.500000, 1, 11.500000, 11.000000, 
2.150043, -2.000000, 8.000000, 0.500000, 1, 11.500000, 11.000000, 
2.200043, 17.000000, 8.000000, 0.000000, 1, 13.000000, 13.000000, 
2.250044, 17.000000, 8.000000, 0.000000, 1, 13.000000, 13.000000, 
2.300044, 30.000000, 8.000000, 0.000000, 1, 14.500000, 14.500000, 
2.350046, 30.000000, 8.000000, 0.000000, 1, 14.500000, 14.500000, 
2.400047, 30.000000, 8.000000, -2.500000, 1, 15.000000, 17.500000, 
2.450047, 30.000000, 8.000000, -2.500000, 1, 15.000000, 17.500000, 
2.500047, 25.000000, 8.000000, -2.500000, 1, 15.500000, 18.000000, 
2.550049, 25.000000, 8.000000, -2.500000, 1, 15.500000, 18.000000, 
2.600050, 16.000000, 8.000000, -2.500000, 1, 17.500000, 20.000000, 
2.650052, 16.000000, 8.000000, -2.500000, 1, 17.500000, 20.000000, 
2.700052, 7.000000, 8.000000, 3.500000, 1, 22.500000, 19.000000, 
2.750053, 7.000000, 8.000000, 3.500000, 1, 22.500000, 19.000000, 
2.800054, 3.000000, 8.000000, -0.500000, 1, 22.000000, 22.500000, 
2.850055, 3.000000, 8.000000, -0.500000, 1, 22.000000, 22.500000, 
2.900057, 0.000000, 8.000000, -4.500000, 1, 22.500000, 27.000000, 
2.950058, 0.000000, 8.000000, -4.500000, 1, 22.500000, 27.000000, 
3.000060, -11.000000, 8.000000, -1.000000, 1, 25.000000, 26.000000, 
3.050061, -11.000000, 8.000000, -1.000000, 1, 25.000000, 26.000000, 
3.100063, -8.000000, 8.000000, 0.000000, 1, 29.000000, 29.000000, 
3.150064, -8.000000, 8.000000, 0.000000, 1, 29.000000, 29.000000, 
3.200065, -1.000000, 8.000000, -2.500000, 1, 31.000000, 33.500000, 
3.250066, -1.000000, 8.000000, -2.500000, 1, 31.000000, 33.500000, 
3.300066, 5.000000, 7.849991, -3.500000, 1, 36.000000, 39.500000, 
3.350068, 5.000000, 7.849991, -3.500000, 1, 36.000000, 39.500000, 
3.400068, 9.000000, 7.493164, -2.000000, 1, 40.500000, 42.500000, 
3.450070, 9.000000, 7.493164, -2.000000, 1, 40.500000, 42.500000, 
3.500071, 15.000000, 7.158150, -0.500000, 1, 47.000000, 47.500000, 
3.550071, 15.000000, 7.158150, -0.500000, 1, 47.000000, 47.500000, 
3.600073, 18.000000, 6.605888, -3.000000, 1, 53.500000, 56.500000, 
3.650073, 18.000000, 6.605888, -3.000000, 1, 53.500000, 56.500000, 
