t, x_target_error, distance_to_target, tape_align_error, target_locked, left_tape_area, right_tape_area
0.050001, -78.000000, 8.000000, -0.500000, 1, 16.500000, 17.000000, 
0.100001, -78.000000, 8.000000, -0.500000, 1, 16.500000, 17.000000, 
0.150001, -78.000000, 8.000000, 0.500000, 1, 17.000000, 16.500000, 
0.200001, -78.000000, 8.000000, 0.500000, 1, 17.000000, 16.500000, 
0.250001, -79.000000, 8.000000, 0.500000, 1, 19.000000, 18.500000, 
0.300002, -79.000000, 8.000000, 0.500000, 1, 19.000000, 18.500000, 
0.350002, -79.000000, 8.000000, 0.500000, 1, 18.500000, 18.000000, 
0.400002, -79.000000, 8.000000, 0.500000, 1, 18.500000, 18.000000, 
0.450003, -78.000000, 8.000000, -1.000000, 1, 18.500000, 19.500000, 
0.500004, -78.000000, 8.000000, -1.000000, 1, 18.500000, 19.500000, 
0.550005, -77.000000, 8.000000, 2.000000, 1, 19.500000, 17.500000, 
0.600007, -77.000000, 8.000000, 2.000000, 1, 19.500000, 17.500000, 
0.650008, -76.000000, 8.000000, 1.000000, 1, 16.500000, 15.500000, 
0.700008, -76.000000, 8.000000, 1.000000, 1, 16.500000, 15.500000, 
0.750009, -76.000000, 8.000000, 0.000000, 1, 18.000000, 18.000000, 
0.800010, -76.000000, 8.000000, 0.000000, 1, 18.000000, 18.000000, 
0.850010, -75.000000, 8.000000, -1.000000, 1, 16.000000, 17.000000, 
0.900012, -75.000000, 8.000000, -1.000000, 1, 16.000000, 17.000000, 
0.950012, -75.000000, 8.000000, -1.000000, 1, 14.500000, 15.500000, 
1.000013, -75.000000, 8.000000, -1.000000, 1, 14.500000, 15.500000, 
1.050015, -75.000000, 8.000000, 0.000000, 1, 15.500000, 15.500000, 
1.100016, -75.000000, 8.000000, 0.000000, 1, 15.500000, 15.500000, 
1.150017, -75.000000, 8.000000, -1.000000, 1, 13.000000, 14.000000, 
1.200019, -75.000000, 8.000000, -1.000000, 1, 13.000000, 14.000000, 
1.250020, -74.000000, 8.000000, -1.500000, 1, 16.000000, 17.500000, 
1.300020, -74.000000, 8.000000, -1.500000, 1, 16.000000, 17.500000, 
1.350020, -75.000000, 8.000000, -0.500000, 1, 16.000000, 16.500000, 
1.400021, -75.000000, 8.000000, -0.500000, 1, 16.000000, 16.500000, 
1.450022, -75.000000, 8.000000, 1.500000, 1, 16.000000, 14.500000, 
1.500022, -75.000000, 8.000000, 1.500000, 1, 16.000000, 14.500000, 
1.550024, -75.000000, 8.000000, 0.500000, 1, 16.000000, 15.500000, 
1.600024, -75.000000, 8.000000, 0.500000, 1, 16.000000, 15.500000, 
1.650025, -75.000000, 8.000000, 0.500000, 1, 14.500000, 14.000000, 
1.700026, -75.000000, 8.000000, 0.500000, 1, 14.500000, 14.000000, 
1.750026, -74.000000, 8.000000, 1.000000, 1, 17.000000, 16.000000, 
1.800028, -74.000000, 8.000000, 1.000000, 1, 17.000000, 16.000000, 
1.850030, -74.000000, 8.000000, -1.000000, 1, 16.500000, 17.500000, 
1.900030, -74.000000, 8.000000, -1.000000, 1, 16.500000, 17.500000, 
1.950031, -74.000000, 8.000000, 3.000000, 1, 17.500000, 14.500000, 
2.000033, -74.000000, 8.000000, 3.000000, 1, 17.500000, 14.500000, 
2.050033, -57.000000, 8.000000, -2.000000, 1, 15.000000, 17.000000, 
2.100035, -57.000000, 8.000000, -2.000000, 1, 15.000000, 17.000000, 
2.150036, -33.000000, 8.000000, 0.000000, 1, 16.000000, 16.000000, 
2.200036, -33.000000, 8.000000, 0.000000, 1, 16.000000, 16.000000, 
2.250038, -5.000000, 8.000000, -2.000000, 1, 12.500000, 14.500000, 
2.300038, -5.000000, 8.000000, -2.000000, 1, 12.500000, 14.500000, 
2.350038, 11.000000, 8.000000, 0.500000, 1, 16.000000, 15.500000, 
2.400038, 11.000000, 8.000000, 0.500000, 1, 16.000000, 15.500000, 
2.450038, 24.000000, 8.000000, -2.500000, 1, 17.000000, 19.500000, 
2.500038, 24.000000, 8.000000, -2.500000, 1, 17.000000, 19.500000, 
2.550039, 28.000000, 8.000000, -4.000000, 1, 20.500000, 24.500000, 
2.600041, 28.000000, 8.000000, -4.000000, 1, 20.500000, 24.500000, 
2.650043, 24.000000, 8.000000, -2.000000, 1, 22.500000, 24.500000, 
2.700045, 24.000000, 8.000000, -2.000000, 1, 22.500000, 24.500000, 
2.750045, 21.000000, 8.000000, -5.000000, 1, 22.500000, 27.500000, 
2.800046, 21.000000, 8.000000, -5.000000, 1, 22.500000, 27.500000, 
2.850048, 18.000000, 8.000000, -7.500000, 1, 22.000000, 29.500000, 
2.900048, 18.000000, 8.000000, -7.500000, 1, 22.000000, 29.500000, 
2.950048, 13.000000, 8.000000, -1.000000, 1, 30.000000, 31.000000, 
3.000049, 13.000000, 8.000000, -1.000000, 1, 30.000000, 31.000000, 
3.050051, 20.000000, 8.000000, -8.000000, 1, 29.500000, 37.500000, 
3.100052, 20.000000, 8.000000, -8.000000, 1, 29.500000, 37.500000, 
3.150053, 23.000000, 7.810349, -5.000000, 1, 35.000000, 40.000000, 
3.200054, 23.000000, 7.810349, -5.000000, 1, 35.000000, 40.000000, 
3.250056, 22.000000, 7.340187, -9.000000, 1, 39.000000, 48.000000, 
3.300058, 22.000000, 7.340187, -9.000000, 1, 39.000000, 48.000000, 
3.350060, 28.000000, 6.793091, -11.000000, 1, 43.500000, 54.500000, 
3.400061, 28.000000, 6.793091, -11.000000, 1, 43.500000, 54.500000, 
3.450063, 31.000000, 6.402954, -6.500000, 1, 56.000000, 62.500000, 
3.500065, 31.000000, 6.402954, -6.500000, 1, 56.000000, 62.500000, 
3.550066, 37.000000, 5.899994, -9.000000, 1, 68.000000, 77.000000, 
3.600066, 37.000000, 5.899994, -9.000000, 1, 68.000000, 77.000000, 
3.650066, 41.000000, 5.575005, -18.000000, 1, 75.000000, 93.000000, 
3.700067, 41.000000, 5.575005, -18.000000, 1, 75.000000, 93.000000, 
3.750067, 38.000000, 5.224998, -18.000000, 1, 85.500000, 103.500000, 
3.800067, 38.000000, 5.224998, -18.000000, 1, 85.500000, 103.500000, 
3.850068, 36.000000, 4.852940, -20.500000, 1, 102.000000, 122.500000, 
3.900068, 36.000000, 4.852940, -20.500000, 1, 102.000000, 122.500000, 
3.950069, 38.000000, 4.550003, -28.000000, 1, 114.000000, 142.000000, 
4.000069, 38.000000, 4.550003, -28.000000, 1, 114.000000, 142.000000, 
4.050070, 39.000000, 4.050003, -29.500000, 1, 137.000000, 166.500000, 
4.100071, 39.000000, 4.050003, -29.500000, 1, 137.000000, 166.500000, 
4.150073, 42.000000, 3.741117, -38.000000, 1, 159.000000, 197.000000, 
4.200073, 42.000000, 3.741117, -38.000000, 1, 159.000000, 197.000000, 
4.250074, 44.000000, 3.416667, -52.500000, 1, 174.000000, 226.500000, 
4.300077, 44.000000, 3.416667, -52.500000, 1, 174.000000, 226.500000, 
4.350079, 44.000000, 3.064458, -56.000000, 1, 203.000000, 259.000000, 
4.400080, 44.000000, 3.064458, -56.000000, 1, 203.000000, 259.000000, 
4.450080, 48.000000, 2.795380, -73.000000, 1, 239.000000, 312.000000, 
4.500080, 48.000000, 2.795380, -73.000000, 1, 239.000000, 312.000000, 
4.550080, 51.000000, 2.541992, -83.000000, 1, 271.000000, 354.000000, 
4.600080, 51.000000, 2.541992, -83.000000, 1, 271.000000, 354.000000, 
4.650080, 55.000000, 2.246812, -94.000000, 1, 319.000000, 413.000000, 
4.700081, 55.000000, 2.246812, -94.000000, 1, 319.000000, 413.000000, 
4.750082, 57.000000, 1.934313, -119.500000, 1, 372.000000, 491.500000, 
4.800083, 57.000000, 1.934313, -119.500000, 1, 372.000000, 491.500000, 
4.850084, 57.000000, 1.765372, -132.500000, 1, 443.000000, 575.500000, 
4.900086, 57.000000, 1.765372, -132.500000, 1, 443.000000, 575.500000, 
4.950088, 55.000000, 1.579055, -147.000000, 1, 522.500000, 669.500000, 
5.000088, 55.000000, 1.579055, -147.000000, 1, 522.500000, 669.500000, 
5.050089, 51.000000, 1.418811, -157.000000, 1, 593.000000, 750.000000, 
5.100091, 51.000000, 1.418811, -157.000000, 1, 593.000000, 750.000000, 
5.150092, 43.000000, 1.232409, -151.500000, 1, 710.500000, 862.000000, 
5.200094, 43.000000, 1.232409, -151.500000, 1, 710.500000, 862.000000, 
5.250094, 34.000000, 1.087680, -148.000000, 1, 810.500000, 958.500000, 
5.300096, 34.000000, 1.087680, -148.000000, 1, 810.500000, 958.500000, 
5.350097, 27.000000, 0.950050, -143.000000, 1, 937.500000, 1080.500000, 
5.400097, 27.000000, 0.950050, -143.000000, 1, 937.500000, 1080.500000, 
5.450098, 19.000000, 0.841827, -101.000000, 1, 1094.000000, 1195.000000, 
5.500098, 19.000000, 0.841827, -101.000000, 1, 1094.000000, 1195.000000, 
5.550099, 16.000000, 0.716419, -94.500000, 1, 1269.500000, 1364.000000, 
5.600099, 16.000000, 0.716419, -94.500000, 1, 1269.500000, 1364.000000, 
5.650100, 15.000000, 0.584375, -100.000000, 1, 1419.000000, 1519.000000, 
5.700101, 15.000000, 0.584375, -100.000000, 1, 1419.000000, 1519.000000, 
5.750102, 0.000000, 0.594009, 1605.000000, 1, 1607.000000, 2.000000, 
5.800102, 0.000000, 0.594009, 1605.000000, 1, 1607.000000, 2.000000, 
5.850102, 3.000000, 0.512019, 1676.000000, 1, 1710.500000, 34.500000, 
5.900103, 3.000000, 0.512019, 1676.000000, 1, 1710.500000, 34.500000, 
5.950104, -59.000000, 0.512019, -2.000000, 1, 2.000000, 4.000000, 
6.000104, -59.000000, 0.512019, -2.000000, 1, 2.000000, 4.000000, 
6.050104, -59.000000, 0.512019, -2.000000, 1, 2.000000, 4.000000, 
6.100106, -59.000000, 0.512019, -2.000000, 1, 2.000000, 4.000000, 
6.150107, -59.000000, 0.512019, -2.000000, 1, 2.000000, 4.000000, 
6.200108, -59.000000, 0.512019, -2.000000, 1, 2.000000, 4.000000, 
6.250110, -66.000000, 8.000000, 2.000000, 1, 4.000000, 2.000000, 
6.300110, -66.000000, 8.000000, 2.000000, 1, 4.000000, 2.000000, 
6.350112, -66.000000, 8.000000, 1.000000, 1, 2.000000, 1.000000, 
6.400114, -66.000000, 8.000000, 1.000000, 1, 2.000000, 1.000000, 
6.450115, 85.000000, 8.000000, 0.000000, 1, 2.000000, 2.000000, 
6.500116, 85.000000, 8.000000, 0.000000, 1, 2.000000, 2.000000, 
6.550116, 89.000000, 8.000000, 0.000000, 1, 4.000000, 4.000000, 
6.600116, 89.000000, 8.000000, 0.000000, 1, 4.000000, 4.000000, 
6.650116, 89.000000, 8.000000, 0.000000, 1, 4.000000, 4.000000, 
6.700117, 84.000000, 8.000000, -6.500000, 1, 4.000000, 10.500000, 
6.750117, 84.000000, 8.000000, -6.500000, 1, 4.000000, 10.500000, 
6.800119, -78.000000, 8.000000, -2.000000, 1, 2.000000, 4.000000, 
6.850120, -78.000000, 8.000000, -2.000000, 1, 2.000000, 4.000000, 
6.900120, 85.000000, 8.000000, 0.000000, 1, 4.000000, 4.000000, 
6.950122, 85.000000, 8.000000, 0.000000, 1, 4.000000, 4.000000, 
7.000124, 89.000000, 8.000000, 2.000000, 1, 4.000000, 2.000000, 
7.050125, 89.000000, 8.000000, 2.000000, 1, 4.000000, 2.000000, 
7.100125, 85.000000, 8.000000, 0.000000, 1, 4.000000, 4.000000, 
7.150127, 85.000000, 8.000000, 0.000000, 1, 4.000000, 4.000000, 
7.200128, 85.000000, 8.000000, 0.000000, 1, 4.000000, 4.000000, 
7.250129, 85.000000, 8.000000, 0.000000, 1, 4.000000, 4.000000, 
7.300130, 85.000000, 8.000000, -2.000000, 1, 2.000000, 4.000000, 
7.350130, 85.000000, 8.000000, -2.000000, 1, 2.000000, 4.000000, 
7.400130, 82.000000, 8.000000, -3.500000, 1, 2.000000, 5.500000, 
7.450132, 82.000000, 8.000000, -3.500000, 1, 2.000000, 5.500000, 
7.500132, -78.000000, 8.000000, 3.000000, 1, 8.500000, 5.500000, 
7.550132, -78.000000, 8.000000, 3.000000, 1, 8.500000, 5.500000, 
7.600132, -78.000000, 8.000000, 3.000000, 1, 8.500000, 5.500000, 
7.650132, -78.000000, 8.000000, 3.000000, 1, 8.500000, 5.500000, 
7.700133, -86.000000, 8.000000, 0.000000, 1, 2.000000, 2.000000, 
7.750133, -86.000000, 8.000000, 0.000000, 1, 2.000000, 2.000000, 
7.800134, -86.000000, 8.000000, 0.000000, 1, 2.000000, 2.000000, 
7.850135, -86.000000, 8.000000, 0.000000, 1, 2.000000, 2.000000, 
7.900137, -86.000000, 8.000000, 0.000000, 1, 2.000000, 2.000000, 
7.950138, -86.000000, 8.000000, 0.000000, 1, 2.000000, 2.000000, 
8.000139, -86.000000, 8.000000, 0.000000, 1, 2.000000, 2.000000, 
8.050139, -86.000000, 8.000000, 0.000000, 1, 2.000000, 2.000000, 
8.100141, 10.000000, 1.500001, 4.000000, 1, 8.000000, 4.000000, 
8.150143, 10.000000, 1.500001, 4.000000, 1, 8.000000, 4.000000, 
