t, x_target_error, distance_to_target, tape_align_error, target_locked, left_tape_area, right_tape_area
0.100001, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
0.200002, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
0.300002, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
0.400003, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
0.500004, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
0.600005, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
0.700007, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
0.800008, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
0.900009, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
1.000010, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
1.100010, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
1.200010, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
1.300011, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
1.400012, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
1.500012, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
1.600012, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
1.700013, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
1.800013, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
1.900015, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
2.000016, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
2.100018, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
2.200018, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
2.300019, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
2.400021, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
2.500022, -16.000000, 7.628293, -1.000000, 1, 26.500000, 27.500000, 
2.600023, 5.000000, 7.067798, -1.000000, 1, 28.000000, 29.000000, 
2.700023, 5.000000, 7.628293, 0.500000, 1, 29.000000, 28.500000, 
2.800023, 5.000000, 7.110378, -1.000000, 1, 30.000000, 31.000000, 
2.900024, 5.000000, 6.924217, -2.500000, 1, 30.500000, 33.000000, 
3.000024, 6.000000, 6.581225, -0.500000, 1, 34.000000, 34.500000, 
3.100024, 6.000000, 6.067743, -4.000000, 1, 33.500000, 37.500000, 
3.200024, 6.000000, 5.777154, -4.500000, 1, 37.500000, 42.000000, 
3.300026, 7.000000, 5.657646, -4.500000, 1, 39.000000, 43.500000, 
3.400028, 7.000000, 5.400033, -5.000000, 1, 45.500000, 50.500000, 
3.500028, 7.000000, 4.911170, -5.000000, 1, 51.000000, 56.000000, 
3.600028, 7.000000, 4.614890, -5.000000, 1, 56.000000, 61.000000, 
3.700030, 8.000000, 4.203781, -3.500000, 1, 65.500000, 69.000000, 
3.800031, 9.000000, 3.926670, -10.000000, 1, 71.500000, 81.500000, 
3.900032, 10.000000, 3.576754, -5.500000, 1, 86.500000, 92.000000, 
4.000034, 11.000000, 3.278302, -10.000000, 1, 99.000000, 109.000000, 
4.100034, 16.000000, 2.974723, -12.000000, 1, 114.000000, 126.000000, 
4.200035, 20.000000, 2.805311, -23.500000, 1, 121.000000, 144.500000, 
4.300037, -21.000000, 3.074703, -23.000000, 1, 109.500000, 132.500000, 
4.400039, -20.000000, 3.014613, -27.500000, 1, 111.500000, 139.000000, 
4.500039, -20.000000, 3.044294, -26.500000, 1, 109.500000, 136.000000, 
4.600041, -21.000000, 3.067576, -27.000000, 1, 107.500000, 134.500000, 
4.700043, -21.000000, 3.098378, -24.000000, 1, 106.000000, 130.000000, 
4.800044, -21.000000, 3.115472, -22.000000, 1, 108.500000, 130.500000, 
4.900045, 16.000000, 2.759186, -13.000000, 1, 132.000000, 145.000000, 
5.000047, 16.000000, 2.759186, -13.000000, 1, 132.000000, 145.000000, 
5.100048, 3.000000, 2.939514, 1.500000, 1, 135.500000, 134.000000, 
5.200048, -16.000000, 2.867415, 16.000000, 1, 144.500000, 128.500000, 
5.300048, -37.000000, 2.631437, 49.500000, 1, 173.500000, 124.000000, 
5.400048, -53.000000, 2.843238, -43.000000, 0, 90.000000, 133.000000, 
5.500050, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
5.600051, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
5.700053, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
5.800053, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
5.900055, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
6.000055, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
6.100055, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
6.200058, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
6.300060, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
6.400060, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
6.500061, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
6.600061, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
6.700062, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
6.800064, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
6.900064, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.000065, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.100066, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.200066, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.300066, -54.000000, 2.594396, -56.500000, 1, 72.000000, 128.500000, 
