t, x_target_error, distance_to_target, tape_align_error, target_locked, left_tape_area, right_tape_area
0.100001, 54.000000, 10.000000, -6.500000, 1, 7.000000, 13.500000, 
0.200002, 54.000000, 10.000000, -6.500000, 1, 7.000000, 13.500000, 
0.300002, 54.000000, 10.000000, -5.500000, 1, 8.000000, 13.500000, 
0.400002, 54.000000, 10.000000, -6.500000, 1, 7.000000, 13.500000, 
0.500004, 54.000000, 10.000000, -6.500000, 1, 7.000000, 13.500000, 
0.600004, 54.000000, 10.000000, -6.500000, 1, 7.000000, 13.500000, 
0.700006, 54.000000, 10.000000, -6.500000, 1, 7.000000, 13.500000, 
0.800006, 54.000000, 10.000000, -6.500000, 1, 7.000000, 13.500000, 
0.900008, 54.000000, 10.000000, -6.500000, 1, 7.000000, 13.500000, 
1.000008, 54.000000, 10.000000, -6.500000, 1, 7.000000, 13.500000, 
1.100010, 49.000000, 10.000000, -1.000000, 1, 8.500000, 9.500000, 
1.200010, 39.000000, 10.000000, -2.000000, 1, 8.000000, 10.000000, 
1.300010, 31.000000, 10.000000, -3.500000, 1, 6.500000, 10.000000, 
1.400010, 14.000000, 10.000000, 1.500000, 1, 9.500000, 8.000000, 
1.500010, 8.000000, 10.000000, -3.500000, 1, 10.500000, 14.000000, 
1.600011, 0.000000, 10.000000, -5.000000, 1, 9.500000, 14.500000, 
1.700011, -4.000000, 10.598862, -0.500000, 1, 12.000000, 12.500000, 
1.800013, -7.000000, 10.598862, 2.000000, 1, 16.000000, 14.000000, 
1.900014, -7.000000, 9.248436, -5.000000, 1, 19.000000, 24.000000, 
2.000015, -7.000000, 8.218222, -4.000000, 1, 22.500000, 26.500000, 
2.100017, -7.000000, 7.831049, -5.500000, 1, 22.500000, 28.000000, 
2.200018, -6.000000, 7.295730, -1.500000, 1, 29.000000, 30.500000, 
2.300018, -5.000000, 6.799046, 3.500000, 1, 35.500000, 32.000000, 
2.400019, -6.000000, 6.181313, 0.500000, 1, 38.500000, 38.000000, 
2.500021, -4.000000, 5.750229, 1.000000, 1, 46.000000, 45.000000, 
2.600021, -4.000000, 5.233872, -3.000000, 1, 52.000000, 55.000000, 
2.700023, -3.000000, 4.816268, 0.500000, 1, 63.000000, 62.500000, 
2.800023, -3.000000, 4.360814, -5.500000, 1, 72.000000, 77.500000, 
2.900024, -3.000000, 4.020471, -6.500000, 1, 80.500000, 87.000000, 
3.000024, -2.000000, 3.673606, -6.500000, 1, 97.000000, 103.500000, 
3.100024, -2.000000, 3.394073, -9.000000, 1, 104.500000, 113.500000, 
3.200026, -1.000000, 2.956832, 0.500000, 1, 130.000000, 129.500000, 
3.300026, -3.000000, 2.775159, 6.000000, 1, 158.500000, 152.500000, 
3.400027, -3.000000, 2.521874, 1.500000, 1, 187.000000, 185.500000, 
3.500028, -3.000000, 2.275289, -8.500000, 1, 213.500000, 222.000000, 
3.600028, -3.000000, 2.109356, 7.000000, 1, 246.000000, 239.000000, 
3.700028, -3.000000, 1.916903, -7.500000, 1, 288.000000, 295.500000, 
3.800030, -3.000000, 1.753870, -9.500000, 1, 330.500000, 340.000000, 
3.900032, 4.000000, 1.648647, -8.500000, 1, 368.500000, 377.000000, 
4.000034, -2.000000, 1.473923, -13.500000, 1, 427.500000, 441.000000, 
4.100034, 7.000000, 1.370775, -502.000000, 1, 4.000000, 506.000000, 
4.200034, -2.000000, 1.240205, -5.500000, 1, 572.500000, 578.000000, 
4.300035, -4.000000, 1.236704, 7.500000, 1, 629.000000, 621.500000, 
4.400035, 0.000000, 1.306397, -621.500000, 1, 8.500000, 630.000000, 
4.500036, 5.000000, 1.321975, -643.000000, 1, 4.000000, 647.000000, 
4.600036, 5.000000, 1.321975, -643.000000, 1, 4.000000, 647.000000, 
4.700038, -66.000000, 10.000000, 0.000000, 1, 4.000000, 4.000000, 
4.800039, -66.000000, 10.000000, 0.000000, 1, 4.000000, 4.000000, 
4.900040, -66.000000, 10.000000, 0.000000, 1, 4.000000, 4.000000, 
5.000041, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
5.100043, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
5.200045, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
