t, x_target_error, distance_to_target, tape_align_error, target_locked, left_tape_area, right_tape_area
0.050001, -84.000000, 10.000000, 0.500000, 1, 19.500000, 19.000000, 
0.100001, -84.000000, 10.000000, -1.000000, 1, 18.000000, 19.000000, 
0.150003, -84.000000, 10.000000, -1.000000, 1, 18.000000, 19.000000, 
0.200003, -84.000000, 10.000000, 1.500000, 1, 20.500000, 19.000000, 
0.250004, -84.000000, 10.000000, 1.500000, 1, 20.500000, 19.000000, 
0.300005, -84.000000, 10.000000, 1.500000, 1, 20.500000, 19.000000, 
0.350005, -84.000000, 10.000000, 1.500000, 1, 20.500000, 19.000000, 
0.400005, -84.000000, 10.000000, 1.500000, 1, 20.500000, 19.000000, 
0.450005, -84.000000, 10.000000, 1.500000, 1, 20.500000, 19.000000, 
0.500006, -84.000000, 10.000000, -1.000000, 1, 17.500000, 18.500000, 
0.550008, -84.000000, 10.000000, -1.000000, 1, 17.500000, 18.500000, 
0.600009, -84.000000, 10.000000, -1.000000, 1, 18.000000, 19.000000, 
0.650009, -84.000000, 10.000000, -1.000000, 1, 18.000000, 19.000000, 
0.700010, -84.000000, 10.000000, -1.000000, 1, 18.000000, 19.000000, 
0.750010, -84.000000, 10.000000, -1.000000, 1, 18.000000, 19.000000, 
0.800010, -84.000000, 10.000000, 0.500000, 1, 19.500000, 19.000000, 
0.850012, -84.000000, 10.000000, 0.500000, 1, 19.500000, 19.000000, 
0.900012, -84.000000, 10.000000, 1.500000, 1, 20.500000, 19.000000, 
0.950014, -84.000000, 10.000000, 1.500000, 1, 20.500000, 19.000000, 
1.000016, -84.000000, 10.000000, -1.500000, 1, 17.500000, 19.000000, 
1.050016, -84.000000, 10.000000, -1.500000, 1, 17.500000, 19.000000, 
1.100016, -84.000000, 10.000000, -1.000000, 1, 18.000000, 19.000000, 
1.150017, -84.000000, 10.000000, -1.000000, 1, 18.000000, 19.000000, 
1.200018, -84.000000, 10.000000, 0.500000, 1, 19.500000, 19.000000, 
1.250018, -84.000000, 10.000000, 0.500000, 1, 19.500000, 19.000000, 
1.300019, -84.000000, 10.000000, 0.500000, 1, 19.500000, 19.000000, 
1.350021, -84.000000, 10.000000, 0.500000, 1, 19.500000, 19.000000, 
1.400022, -84.000000, 10.000000, -2.000000, 1, 17.000000, 19.000000, 
1.450022, -84.000000, 10.000000, -2.000000, 1, 17.000000, 19.000000, 
1.500022, -83.000000, 10.000000, -2.500000, 1, 19.500000, 22.000000, 
1.550022, -83.000000, 10.000000, -2.500000, 1, 19.500000, 22.000000, 
1.600023, -84.000000, 10.000000, 0.000000, 1, 20.500000, 20.500000, 
1.650025, -84.000000, 10.000000, 0.000000, 1, 20.500000, 20.500000, 
1.700027, -83.000000, 10.000000, -1.500000, 1, 20.500000, 22.000000, 
1.750027, -83.000000, 10.000000, -1.500000, 1, 20.500000, 22.000000, 
1.800027, -86.000000, 10.000000, -2.500000, 1, 20.500000, 23.000000, 
