t, x_target_error, distance_to_target, tape_align_error, target_locked, left_tape_area, right_tape_area
0.100000, -59.000000, 7.900002, -1.000000, 1, 8.500000, 9.500000, 
0.200000, -59.000000, 7.900002, -1.000000, 1, 8.500000, 9.500000, 
0.300000, -59.000000, 7.900002, -1.000000, 1, 8.500000, 9.500000, 
0.400003, -59.000000, 7.900002, 0.000000, 1, 8.500000, 8.500000, 
0.500004, -59.000000, 7.900002, -1.000000, 1, 8.500000, 9.500000, 
0.600004, -59.000000, 7.900002, -1.000000, 1, 8.500000, 9.500000, 
0.700005, -59.000000, 7.900002, -1.000000, 1, 8.500000, 9.500000, 
0.800005, -59.000000, 0.000000, -0.500000, 1, 8.500000, 9.000000, 
0.900005, -59.000000, 7.900002, -1.000000, 1, 8.500000, 9.500000, 
1.000007, -59.000000, 10.000000, -2.000000, 1, 7.000000, 9.000000, 
1.100007, -51.000000, 10.000000, 1.500000, 1, 7.000000, 5.500000, 
1.200009, -38.000000, 10.000000, 1.000000, 1, 6.000000, 5.000000, 
1.300011, -26.000000, 10.000000, 0.500000, 1, 6.000000, 5.500000, 
1.400011, -18.000000, 10.000000, 1.000000, 1, 6.500000, 5.500000, 
1.500012, -14.000000, 10.000000, 3.000000, 1, 6.000000, 3.000000, 
1.600013, -7.000000, 0.000000, -4.000000, 1, 4.000000, 8.000000, 
1.700014, -4.000000, 7.780937, 1.000000, 1, 9.500000, 8.500000, 
1.800016, -2.000000, 7.399994, 1.000000, 1, 8.000000, 7.000000, 
1.900017, -2.000000, 7.352936, -2.500000, 1, 8.000000, 10.500000, 
2.000018, -1.000000, 7.352936, -1.500000, 1, 9.500000, 11.000000, 
2.100020, 0.000000, 6.400009, -2.500000, 1, 10.000000, 12.500000, 
2.200021, -3.000000, 6.699997, 1.500000, 1, 13.500000, 12.000000, 
2.300022, -1.000000, 6.034485, -2.000000, 1, 13.500000, 15.500000, 
2.400022, -1.000000, 5.914707, -2.000000, 1, 15.000000, 17.000000, 
2.500024, 0.000000, 5.650002, -2.500000, 1, 17.500000, 20.000000, 
2.600024, -1.000000, 5.449993, 0.000000, 1, 21.500000, 21.500000, 
2.700024, -1.000000, 5.103775, -3.500000, 1, 21.000000, 24.500000, 
2.800024, 0.000000, 4.931038, -11.000000, 1, 18.000000, 29.000000, 
2.900026, -1.000000, 4.726418, 0.500000, 1, 29.500000, 29.000000, 
3.000027, -1.000000, 4.638252, -3.000000, 1, 31.000000, 34.000000, 
3.100027, -1.000000, 4.116035, -1.000000, 1, 36.500000, 37.500000, 
3.200029, -1.000000, 3.935298, 2.500000, 1, 43.000000, 40.500000, 
3.300031, -1.000000, 3.731374, 1.500000, 1, 47.500000, 46.000000, 
3.400031, -1.000000, 3.500000, -4.000000, 1, 49.500000, 53.500000, 
3.500031, -1.000000, 3.243988, -7.000000, 1, 46.500000, 53.500000, 
3.600031, -1.000000, 3.232923, -3.500000, 1, 55.000000, 58.500000, 
3.700033, -2.000000, 3.049057, -6.500000, 1, 57.000000, 63.500000, 
3.800033, -1.000000, 2.861174, 0.500000, 1, 64.000000, 63.500000, 
3.900033, -1.000000, 2.700000, -1.000000, 1, 71.500000, 72.500000, 
4.000034, -1.000000, 2.586792, 0.500000, 1, 81.500000, 81.000000, 
4.100034, -1.000000, 2.446030, -0.500000, 1, 90.000000, 90.500000, 
4.200034, -1.000000, 2.177982, -3.500000, 1, 96.500000, 100.000000, 
4.300045, 0.000000, 2.010959, -10.000000, 1, 103.000000, 113.000000, 
4.400046, 0.000000, 1.955555, -2.000000, 1, 117.500000, 119.500000, 
4.500046, 0.000000, 1.851280, 5.500000, 1, 130.000000, 124.500000, 
4.600046, -1.000000, 1.688019, -19.500000, 1, 138.000000, 157.500000, 
4.700046, 0.000000, 1.588889, -1.500000, 1, 161.000000, 162.500000, 
4.800048, 0.000000, 1.442735, -7.500000, 1, 177.500000, 185.000000, 
4.900050, 0.000000, 1.322222, -3.000000, 1, 199.000000, 202.000000, 
5.000051, 0.000000, 1.139329, -6.500000, 1, 217.000000, 223.500000, 
5.100052, 0.000000, 0.981485, -13.500000, 1, 243.500000, 257.000000, 
5.200052, 0.000000, 0.878870, -1.500000, 1, 277.500000, 279.000000, 
5.300053, -1.000000, 0.781250, -9.500000, 1, 306.000000, 315.500000, 
5.400054, -1.000000, 0.656249, -2.500000, 1, 346.500000, 349.000000, 
5.500055, -1.000000, 0.599999, 6.000000, 1, 376.500000, 370.500000, 
