t, x_target_error, distance_to_target, tape_align_error, target_locked, left_tape_area, right_tape_area
0.100001, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
0.200001, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
0.300002, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
0.400002, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
0.500003, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
0.600004, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
0.700005, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
0.800005, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
0.900007, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
1.000007, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
1.100009, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
1.200009, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
1.300009, -39.000000, 10.000000, 0.500000, 1, 3.500000, 3.000000, 
1.400011, -39.000000, 10.000000, 2.500000, 1, 5.500000, 3.000000, 
1.500011, -39.000000, 10.000000, 0.000000, 1, 3.500000, 3.500000, 
1.600013, -39.000000, 10.000000, 1.500000, 1, 4.000000, 2.500000, 
1.700013, -39.000000, 10.000000, 1.500000, 1, 4.000000, 2.500000, 
1.800015, -39.000000, 10.000000, 2.500000, 1, 5.000000, 2.500000, 
1.900015, -40.000000, 10.000000, 1.500000, 1, 4.000000, 2.500000, 
2.000016, -40.000000, 10.000000, 1.500000, 1, 4.000000, 2.500000, 
2.100016, -39.000000, 10.000000, -1.000000, 1, 3.000000, 4.000000, 
2.200017, -40.000000, 10.000000, -1.500000, 1, 3.000000, 4.500000, 
2.300018, -40.000000, 10.000000, -1.500000, 1, 3.000000, 4.500000, 
2.400018, -41.000000, 10.000000, 0.000000, 1, 3.000000, 3.000000, 
2.500018, -40.000000, 10.000000, -1.000000, 1, 3.000000, 4.000000, 
2.600018, -42.000000, 10.000000, 1.500000, 1, 4.500000, 3.000000, 
2.700018, -42.000000, 10.000000, 2.500000, 1, 5.000000, 2.500000, 
2.800018, -42.000000, 10.000000, 2.500000, 1, 5.000000, 2.500000, 
2.900019, -44.000000, 10.000000, 3.500000, 1, 5.500000, 2.000000, 
3.000020, -43.000000, 10.000000, -4.500000, 1, 3.500000, 8.000000, 
3.100021, -46.000000, 10.000000, 3.000000, 1, 6.000000, 3.000000, 
3.200021, -42.000000, 10.000000, 4.500000, 1, 8.000000, 3.500000, 
3.300023, -34.000000, 10.000000, -1.000000, 1, 4.000000, 5.000000, 
3.400023, -29.000000, 10.000000, 0.000000, 1, 6.000000, 6.000000, 
3.500023, -20.000000, 7.399994, -1.000000, 1, 6.000000, 7.000000, 
3.600025, -12.000000, 7.599998, -1.000000, 1, 7.500000, 8.500000, 
3.700025, -8.000000, 7.117638, -2.500000, 1, 10.000000, 12.500000, 
3.800025, -6.000000, 6.100006, -5.000000, 1, 10.500000, 15.500000, 
3.900027, -3.000000, 5.926472, 0.000000, 1, 14.000000, 14.000000, 
4.000028, -2.000000, 5.189659, -8.000000, 1, 16.500000, 24.500000, 
4.100028, -3.000000, 4.839626, -5.500000, 1, 22.000000, 27.500000, 
4.200029, -1.000000, 4.376915, -5.500000, 1, 25.000000, 30.500000, 
4.300029, -3.000000, 3.979284, -4.000000, 1, 31.500000, 35.500000, 
4.400030, -3.000000, 3.670591, -10.000000, 1, 33.500000, 43.500000, 
4.500032, -2.000000, 3.272296, -7.500000, 1, 41.500000, 49.000000, 
4.600033, -3.000000, 2.995296, -14.500000, 1, 46.500000, 61.000000, 
4.700035, -3.000000, 2.656665, -14.500000, 1, 56.500000, 71.000000, 
4.800035, -2.000000, 2.292787, -21.500000, 1, 70.000000, 91.500000, 
4.900037, -1.000000, 1.988235, -26.500000, 1, 81.500000, 108.000000, 
5.000038, -2.000000, 1.753143, -29.000000, 1, 100.000000, 129.000000, 
5.100038, -2.000000, 1.595090, -39.000000, 1, 106.500000, 145.500000, 
5.200039, -1.000000, 1.325842, -58.500000, 1, 117.000000, 175.500000, 
5.300040, -2.000000, 1.110124, -64.000000, 1, 144.000000, 208.000000, 
5.400041, -2.000000, 0.916864, -86.000000, 1, 158.500000, 244.500000, 
5.500042, -1.000000, 0.731985, -99.000000, 1, 186.500000, 285.500000, 
5.600043, -1.000000, 0.604045, -118.000000, 1, 208.500000, 326.500000, 
5.700044, -1.000000, 0.483457, -143.500000, 1, 226.500000, 370.000000, 
5.800044, -1.000000, 0.302888, -152.500000, 1, 259.500000, 412.000000, 
5.900044, -1.000000, 0.212537, -180.000000, 1, 275.500000, 455.500000, 
6.000045, -1.000000, 0.076474, -209.000000, 1, 293.500000, 502.500000, 
6.100046, -1.000000, 0.000000, -228.500000, 1, 315.000000, 543.500000, 
6.200046, -1.000000, 0.000000, -247.000000, 1, 337.500000, 584.500000, 
6.300047, -1.000000, 0.000000, -227.000000, 1, 369.000000, 596.000000, 
6.400049, -1.000000, 0.000000, -226.000000, 1, 393.000000, 619.000000, 
6.500051, -1.000000, 0.000000, -202.000000, 1, 432.000000, 634.000000, 
6.600051, -1.000000, 0.000000, -180.500000, 1, 473.000000, 653.500000, 
6.700052, -1.000000, 0.000000, -167.500000, 1, 507.500000, 675.000000, 
6.800053, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
6.900053, -5.000000, 0.166630, 544.500000, 1, 551.500000, 7.000000, 
7.000053, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.100055, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.200212, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.300213, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.400214, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.500214, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.600215, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.700215, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.800216, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
7.900216, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
8.000216, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
8.100216, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
8.200216, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
8.300217, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
8.400218, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
8.500220, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
8.600222, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
8.700223, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
8.800224, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
8.900224, 43.000000, 10.000000, 0.000000, 1, 4.000000, 4.000000, 
9.000224, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
9.100224, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
9.200226, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
9.300226, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
9.400226, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
9.500226, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
9.600226, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
9.700228, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
9.800229, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
9.900231, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
10.000231, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 
