t, x_target_error, distance_to_target, tape_align_error, target_locked, left_tape_area, right_tape_area
0.050002, -58.000000, 8.000000, 3.000000, 1, 12.500000, 9.500000, 
0.100003, -58.000000, 8.000000, 3.000000, 1, 12.500000, 9.500000, 
0.150003, -58.000000, 8.000000, 4.000000, 1, 13.000000, 9.000000, 
0.200006, -58.000000, 8.000000, 4.000000, 1, 13.000000, 9.000000, 
0.250008, -58.000000, 8.000000, 3.000000, 1, 13.000000, 10.000000, 
0.300008, -58.000000, 8.000000, 3.000000, 1, 13.000000, 10.000000, 
0.350008, -58.000000, 8.000000, 2.500000, 1, 12.500000, 10.000000, 
0.400008, -58.000000, 8.000000, 2.500000, 1, 12.500000, 10.000000, 
0.450008, -58.000000, 8.000000, -0.500000, 1, 9.500000, 10.000000, 
0.500009, -58.000000, 8.000000, -0.500000, 1, 9.500000, 10.000000, 
0.550010, -58.000000, 8.000000, -0.500000, 1, 9.500000, 10.000000, 
0.600010, -58.000000, 8.000000, -0.500000, 1, 9.500000, 10.000000, 
0.650012, -58.000000, 8.000000, 2.500000, 1, 11.500000, 9.000000, 
0.700014, -58.000000, 8.000000, 2.500000, 1, 11.500000, 9.000000, 
0.750015, -58.000000, 8.000000, 3.000000, 1, 12.500000, 9.500000, 
0.800015, -58.000000, 8.000000, 3.000000, 1, 12.500000, 9.500000, 
0.850016, -58.000000, 8.000000, 3.500000, 1, 13.000000, 9.500000, 
0.900017, -58.000000, 8.000000, 3.500000, 1, 13.000000, 9.500000, 
0.950019, -58.000000, 8.000000, 0.000000, 1, 9.500000, 9.500000, 
1.000021, -58.000000, 8.000000, 0.000000, 1, 9.500000, 9.500000, 
1.050022, -58.000000, 8.000000, 0.000000, 1, 10.000000, 10.000000, 
1.100023, -58.000000, 8.000000, 0.000000, 1, 10.000000, 10.000000, 
1.150025, -58.000000, 8.000000, 1.500000, 1, 11.500000, 10.000000, 
1.200027, -58.000000, 8.000000, 1.500000, 1, 11.500000, 10.000000, 
1.250029, -58.000000, 8.000000, 2.000000, 1, 11.000000, 9.000000, 
1.300031, -58.000000, 8.000000, 2.000000, 1, 11.000000, 9.000000, 
1.350032, -58.000000, 8.000000, 4.000000, 1, 13.000000, 9.000000, 
1.400033, -58.000000, 8.000000, 4.000000, 1, 13.000000, 9.000000, 
1.450033, -58.000000, 8.000000, -0.500000, 1, 9.500000, 10.000000, 
1.500034, -58.000000, 8.000000, -0.500000, 1, 9.500000, 10.000000, 
1.550036, -58.000000, 8.000000, 1.000000, 1, 10.000000, 9.000000, 
1.600038, -58.000000, 8.000000, 1.000000, 1, 10.000000, 9.000000, 
1.650039, -56.000000, 8.000000, -1.500000, 1, 9.500000, 11.000000, 
1.700039, -56.000000, 8.000000, -1.500000, 1, 9.500000, 11.000000, 
1.750039, -56.000000, 8.000000, 3.000000, 1, 12.000000, 9.000000, 
1.800039, -56.000000, 8.000000, 3.000000, 1, 12.000000, 9.000000, 
1.850041, -55.000000, 8.000000, 3.500000, 1, 12.500000, 9.000000, 
1.900043, -55.000000, 8.000000, 3.500000, 1, 12.500000, 9.000000, 
1.950044, -58.000000, 8.000000, 0.000000, 1, 11.500000, 11.500000, 
2.000045, -58.000000, 8.000000, 0.000000, 1, 11.500000, 11.500000, 
2.050047, -53.000000, 8.000000, -0.500000, 1, 11.000000, 11.500000, 
2.100049, -53.000000, 8.000000, -0.500000, 1, 11.000000, 11.500000, 
2.150108, -61.000000, 8.000000, 0.500000, 1, 14.000000, 13.500000, 
2.200109, -61.000000, 8.000000, 0.500000, 1, 14.000000, 13.500000, 
2.250109, -61.000000, 8.000000, -1.000000, 1, 13.000000, 14.000000, 
2.300109, -61.000000, 8.000000, -1.000000, 1, 13.000000, 14.000000, 
2.350111, -61.000000, 8.000000, -1.000000, 1, 14.500000, 15.500000, 
2.400111, -61.000000, 8.000000, -1.000000, 1, 14.500000, 15.500000, 
2.450111, -65.000000, 8.000000, 4.000000, 1, 20.500000, 16.500000, 
2.500111, -65.000000, 8.000000, 4.000000, 1, 20.500000, 16.500000, 
2.550111, -70.000000, 8.000000, -2.000000, 1, 20.000000, 22.000000, 
2.600111, -70.000000, 8.000000, -2.000000, 1, 20.000000, 22.000000, 
2.650112, -66.000000, 8.000000, 1.500000, 1, 21.500000, 20.000000, 
2.700112, -66.000000, 8.000000, 1.500000, 1, 21.500000, 20.000000, 
